AGS;Kommune;Kreis;Typ;Regierungsbezirk;Bevölkerung;Gemeindegrößenklasse;Partei;Zentralörtliche Einstufung;Beschluss NKNRW;Angebot;Einstiegszeitpunkt;Vorerfahrung;Teilnahme NKNRW;Projekthistorie id;Projekthistorie Name
5566092;Westerkappeln;Steinfurt;Kreisangehörige Gemeinde;Münster;10876;Kleine Kleinstadt;SPD;Grundzentrum und niedriger;Geplant;Vollständige Implementierung der Prozesskette Nachhaltigkeit;2026-10;First Stepper;1;0;
5358052;Nörvenich;Düren;Kreisangehörige Gemeinde;Köln;12131;Kleine Kleinstadt;CDU;Grundzentrum und niedriger;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2026-10;First Stepper;1;0;
5170036;Schermbeck;Wesel;Kreisangehörige Gemeinde;Düsseldorf;13516;Kleine Kleinstadt;CDU;Grundzentrum und niedriger;Liegt vor;Vollständige Implementierung der Prozesskette Nachhaltigkeit;2026-10;Beginner;1;0;
5566064;Nordwalde;Steinfurt;Kreisangehörige Gemeinde;Münster;13915;Kleine Kleinstadt;CDU;Grundzentrum und niedriger;Geplant;Entwicklung eines Nachhaltigkeitsberichts;2027-10;First Stepper;1;0;
5970028;Bad Laasphe;Siegen-Wittgenstein;Kreisangehörige Gemeinde;Arnsberg;14553;Kleine Kleinstadt;Parteilos;Grundzentrum und niedriger;Geplant;Entwicklung einer Nachhaltigkeitsstrategie;2026-10;Beginner;1;0;
5766016;Blomberg;Lippe;Stadt;Detmold;15485;Kleine Kleinstadt;SPD;Mittelzentrum;Liegt vor;Entwicklung einer Nachhaltigkeitsstrategie;2026-10;Beginner;1;0;
5570016;Drensteinfurt;Warendorf;Stadt;Münster;16282;Kleine Kleinstadt;CDU;Grundzentrum und niedriger;Liegt vor;Entwicklung einer Nachhaltigkeitsstrategie;2026-10;First Stepper;1;0;
5962004;Altena (Westf.);Märkischer Kreis;Stadt;Arnsberg;16621;Kleine Kleinstadt;CDU/Die Grüne;Mittelzentrum;Nein;Entwicklung eines Nachhaltigkeitsberichts;2027-10;Beginner;1;0;
5366004;Bad Münstereifel;Euskirchen;Stadt;Köln;18297;Kleine Kleinstadt;SPD;Grundzentrum und niedriger;Nein;Entwicklung einer Nachhaltigkeitsstrategie;"2026-10; 2028-02";Beginner;1;0;
5970004;Bad Berleburg;Siegen-Wittgenstein;Stadt;Arnsberg;18400;Kleine Kleinstadt;CDU;Mittelzentrum;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2027-08;Professionals;1;1;Global Nachhaltige Kommune (2016–2018)
5566016;Hörstel;Steinfurt;Stadt;Münster;20166;Größere Kleinstadt;SPD;Grundzentrum und niedriger;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;"2027-08; 2028-07";Performer;1;1;Global Nachhaltige Kommune (2019–2021)
5566040;Lengerich;Steinfurt;Stadt;Münster;22557;Größere Kleinstadt;SPD;Mittelzentrum;Geplant;Vollständige Implementierung der Prozesskette Nachhaltigkeit;2026-10;Performer;1;0;
5382012;Bornheim;Rhein-Sieg-Kreis;Kreisangehörige Gemeinde;Köln;23719;Größere Kleinstadt;CDU;Grundzentrum und niedriger;Nein;"Entwicklung einer Nachhaltigkeitsstrategie; Entwicklung eines Nachhaltigkeitshaushalts";2028-02;First Stepper;1;0;
5374048;Wiehl;Oberbergischer Kreis;Stadt;Köln;25164;Größere Kleinstadt;Parteilos;Grundzentrum und niedriger;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;"2026-10; 2027-08";First Stepper;1;0;
5378024;Overath;Rheinisch-Bergischer Kreis;Stadt;Köln;26663;Größere Kleinstadt;CDU;Grundzentrum und niedriger;Geplant;Vollständige Implementierung der Prozesskette Nachhaltigkeit;2026-10;First Stepper;1;0;
5958044;Sundern;Hochsauerlandkreis;Stadt;Arnsberg;27654;Größere Kleinstadt;CDU;Mittelzentrum;Geplant;Entwicklung einer Nachhaltigkeitsstrategie;"2026-10; 2028-02";Beginner;1;0;
5382028;Lohmar;Rhein-Sieg-Kreis;Stadt;Köln;30992;Größere Kleinstadt;CDU;Mittelzentrum;Geplant;"Fortschreibung einer bestehenden Nachhaltigkeitsstrategie; Entwicklung eines Nachhaltigkeitsberichts";2027-04;First Stepper;1;1;Auftragsarbeit – Erstellung einer Nachhaltigkeitsstrategie (2025–2026)
5566088;Tecklenburg;Steinfurt;Stadt;Münster;34860;Größere Kleinstadt;SPD;Mittelzentrum;Geplant;Entwicklung eines Nachhaltigkeitsberichts;"2027-10; 2028-04";Performer;1;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
